currency,month,value
Icelandic Krona,11/2007,60.784090909090885
Icelandic Krona,02/2008,66.4852380952381
Icelandic Krona,02/2007,67.3665
Icelandic Krona,01/2008,64.30380952380952
Indian Rupee,11/2007,39.44
Indian Rupee,02/2008,39.7295238095238
Indian Rupee,02/2007,44.16235294117647
Indian Rupee,01/2008,39.37272727272727
Indonesian Rupiah,11/2007,9
Indonesian Rupiah,02/2008,9
Indonesian Rupiah,02/2007,9
Indonesian Rupiah,01/2008,9
Iranian Rial,11/2007,9
Iranian Rial,02/2008,9
Iranian Rial,02/2007,9
Iranian Rial,01/2008,9
Israeli New Sheqel,11/2007,3.913363636363637
Israeli New Sheqel,02/2008,3.6084285714285707
Israeli New Sheqel,02/2007,4.218
Israeli New Sheqel,01/2008,3.7509090909090905
Kazakhstani Tenge,11/2007,120.71900000000001
Kazakhstani Tenge,02/2008,120.32000000000001
Kazakhstani Tenge,02/2007,124.839375
Kazakhstani Tenge,01/2008,120.3590909090909
Korean Won,11/2007,916.9772727272727
Korean Won,02/2008,944.6944444444445
Korean Won,02/2007,937.3625
Korean Won,01/2008,942.3863636363636
Kuwaiti Dinar,11/2007,0.27557045454545454
Kuwaiti Dinar,02/2008,0.2733722222222222
Kuwaiti Dinar,02/2007,0.28914000000000006
Kuwaiti Dinar,01/2008,0.2731090909090911
Libyan Dinar(2),11/2007,1.9323669999999995
Libyan Dinar(2),02/2008,1.9323669999999997
Libyan Dinar(2),02/2007,1.9323669999999997
Libyan Dinar(2),01/2008,1.9323669999999995
Malaysian Ringgit,11/2007,3.3575000000000004
Malaysian Ringgit,02/2008,3.222255555555555
Malaysian Ringgit,02/2007,3.4963066666666673
Malaysian Ringgit,01/2008,3.267874999999999
Mauritian Rupee,11/2007,29.972279999999994
Mauritian Rupee,02/2008,28.01165294117647
Mauritian Rupee,02/2007,33.22689411764706
Mauritian Rupee,01/2008,28.490031578947363
Mexican Peso,11/2007,10.886734999999998
Mexican Peso,02/2008,10.76653
Mexican Peso,02/2007,10.999800000000002
Mexican Peso,01/2008,10.910013636363637
Nepalese Rupee,11/2007,63.49238095238096
Nepalese Rupee,02/2008,63.726315789473695
Nepalese Rupee,02/2007,70.70499999999998
