file-name,row-index,row-values
gdp-usd-2005.csv,531,"LY, 2002, 33937202638"
gdp-usd-2005.csv,533,"LI, 2002, 3453849096"
gdp-usd-2005.csv,534,"LK, 2002, 20564131186"
gdp-usd-2005.csv,535,"LS, 2002, 1244101707"
gdp-usd-2005.csv,536,"LT, 2002, 20445486537"
gdp-usd-2005.csv,537,"LU, 2002, 33489155847"
gdp-usd-2005.csv,538,"LV, 2002, 12450199800"
gdp-usd-2005.csv,539,"MO, 2002, 7604317315"
gdp-usd-2005.csv,541,"MA, 2002, 51876762054"
gdp-usd-2005.csv,542,"MC, 2002, 4055086247"
gdp-usd-2005.csv,543,"MD, 2002, 2427989875"
gdp-usd-2005.csv,544,"MG, 2002, 4169003874"
gdp-usd-2005.csv,548,"MK, 2002, 5332288418"
gdp-usd-2005.csv,549,"ML, 2002, 4555307683"
gdp-usd-2005.csv,550,"MT, 2002, 5790846034"
gdp-usd-2005.csv,552,"ME, 2002, 2024427565"
gdp-usd-2005.csv,553,"MN, 2002, 1987511248"
gdp-usd-2005.csv,555,"MZ, 2002, 5249218336"
gdp-usd-2005.csv,556,"MR, 2002, 1586406124"
gdp-usd-2005.csv,557,"MU, 2002, 5662431639"
gdp-usd-2005.csv,558,"MW, 2002, 2421765812"
gdp-usd-2005.csv,560,"NA, 2002, 6051612515"
gdp-usd-2005.csv,562,"NE, 2002, 3091402393"
gdp-usd-2005.csv,563,"NG, 2002, 73525054912"
gdp-usd-2005.csv,564,"NI, 2002, 5615562020"
gdp-usd-2005.csv,567,"NP, 2002, 7220597241"
gdp-usd-2005.csv,569,"OM, 2002, 30760792466"
gdp-usd-2005.csv,570,"PK, 2002, 90345858358"
gdp-usd-2005.csv,571,"PA, 2002, 12876346309"
gdp-usd-2005.csv,572,"PE, 2002, 64512089612"
gdp-usd-2005.csv,573,"PH, 2002, 87826402660"
gdp-usd-2005.csv,575,"PG, 2002, 4508527973"
gdp-usd-2005.csv,577,"PR, 2002, 81029582145"
gdp-usd-2005.csv,580,"PY, 2002, 7878320971"
gdp-usd-2005.csv,582,"QA, 2002, 33502142718"
gdp-usd-2005.csv,583,"RO, 2002, 82871199517"
gdp-usd-2005.csv,585,"RW, 2002, 2225440545"
gdp-usd-2005.csv,587,"SD, 2002, 22048920061"
gdp-usd-2005.csv,588,"SN, 2002, 7298610447"
gdp-usd-2005.csv,591,"SL, 2002, 1340402002"
gdp-usd-2005.csv,592,"SV, 2002, 15841476610"
gdp-usd-2005.csv,593,"SM, 2002, 1236627401"
gdp-usd-2005.csv,595,"RS, 2002, 21845766151"
gdp-usd-2005.csv,598,"SR, 2002, 1480854593"
gdp-usd-2005.csv,599,"SK, 2002, 53030284542"
gdp-usd-2005.csv,600,"SI, 2002, 32563188784"
gdp-usd-2005.csv,602,"SZ, 2002, 2397023645"
gdp-usd-2005.csv,605,"SY, 2002, 25268563691"
gdp-usd-2005.csv,607,"TD, 2002, 3695199036"
gdp-usd-2005.csv,608,"TG, 2002, 1950464804"
gdp-usd-2005.csv,610,"TJ, 2002, 1770047601"
gdp-usd-2005.csv,611,"TM, 2002, 6611876244"
gdp-usd-2005.csv,614,"TT, 2002, 12319670537"
gdp-usd-2005.csv,615,"TN, 2002, 27939013107"
gdp-usd-2005.csv,618,"TZ, 2002, 11428029221"
gdp-usd-2005.csv,619,"UG, 2002, 7454217784"
