value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
NAN,ynm,Albania MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Albania MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Albania MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Albania MICS 2005 SPSS Datasets,,NAN,,,NAN,NAN,NAN,NAN
preschool/kindergarten,school,Albania MICS 2005 SPSS Datasets,,,,preschool,NAN,NAN,NAN,NAN
primary,school,Albania MICS 2005 SPSS Datasets,,,,primary,NAN,NAN,NAN,NAN
yes,attended,Albania MICS 2005 SPSS Datasets,,,1,,NAN,NAN,NAN,NAN
secondary,school,Albania MICS 2005 SPSS Datasets,,,,secondary,NAN,NAN,NAN,NAN
no,ynm,Albania MICS 2005 SPSS Datasets,,0,,,NAN,NAN,NAN,NAN
university,school,Albania MICS 2005 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
yes,ynm,Albania MICS 2005 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Algeria_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Algeria_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Algeria_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Algeria_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
37,wall,Algeria_MICS4_Datasets,,,,,TRUE,0,NAN,NAN
33,wall,Algeria_MICS4_Datasets,,,,,TRUE,0,NAN,NAN
14,wall,Algeria_MICS4_Datasets,,,,,TRUE,1,NAN,NAN
22,wall,Algeria_MICS4_Datasets,,,,,TRUE,1,NAN,NAN
13,wall,Algeria_MICS4_Datasets,,,,,TRUE,1,NAN,NAN
36,wall,Algeria_MICS4_Datasets,,,,,TRUE,0,NAN,NAN
NAN,wall,Algeria_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
32,wall,Algeria_MICS4_Datasets,,,,,TRUE,0,NAN,NAN
99,wall,Algeria_MICS4_Datasets,,,,,TRUE,NAN,NAN,NAN
96,wall,Algeria_MICS4_Datasets,,,,,TRUE,NAN,NAN,NAN
21,wall,Algeria_MICS4_Datasets,,,,,TRUE,1,NAN,NAN
35,wall,Algeria_MICS4_Datasets,,,,,TRUE,0,NAN,NAN
carrelage,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
dalle de sol,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
ciment,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
terre battue/ sable,floor,Algeria_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
NAN,floor,Algeria_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
vinyle ou asphalte,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
gerflex,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
manquant,floor,Algeria_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
moquette,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
parquet ou bois cirã©,floor,Algeria_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
autre,floor,Algeria_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
NAN,toilets,Algeria_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
manquant,attended,Algeria_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
rural,urban.rural,Algeria_MICS4_Datasets,0,,,,NAN,NAN,NAN,NAN
NAN,water,Algeria_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
2,ynm,Algeria_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Algeria_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Algeria_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
2,ynm,Algeria_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
NAN,attended,Algeria_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
manquant,school,Algeria_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
maternelle / prã©scolaire,school,Algeria_MICS4_Datasets,,,,preschool,NAN,NAN,NAN,NAN
moyen,school,Algeria_MICS4_Datasets,,,,secondary,NAN,NAN,NAN,NAN
NAN,school,Algeria_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
3,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
3,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
urbain,urban.rural,Algeria_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
nsp,school,Algeria_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
manquant,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Algeria_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
primaire,school,Algeria_MICS4_Datasets,,,,primary,NAN,NAN,NAN,NAN
non,attended,Algeria_MICS4_Datasets,,,0,,NAN,NAN,NAN,NAN
oui,attended,Algeria_MICS4_Datasets,,,1,,NAN,NAN,NAN,NAN
secondaire,school,Algeria_MICS4_Datasets,,,,secondary,NAN,NAN,NAN,NAN
supã©rieur,school,Algeria_MICS4_Datasets,,,,higher,NAN,NAN,NAN,NAN
non,ynm,Algeria_MICS4_Datasets,,0,,,NAN,NAN,NAN,NAN
oui,ynm,Algeria_MICS4_Datasets,,1,,,NAN,NAN,NAN,NAN
NAN,wall,Argentina_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
"cerámica, baldosa, mosaico, mármol, madera, alfombrado",floor,Argentina_MICS4_Datasets,,,,,NAN,0,NAN,NAN
cemento o ladrillo fijo,floor,Argentina_MICS4_Datasets,,,,,NAN,0,NAN,NAN
otro,floor,Argentina_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
tierra o ladrillo suelto,floor,Argentina_MICS4_Datasets,,,,,NAN,1,NAN,NAN
missing,floor,Argentina_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
agua de red pública,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,0,0
perforación con bomba manual,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,1,0
perforación con bomba a motor,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,1,0
pozo,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,1,1
transporte por cisterna,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,1,1
"agua de lluvia, río, canal, arroyo o acequia",water,Argentina_MICS4_Datasets,,,,,NAN,NAN,1,1
NAN,toilets,Argentina_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
missing,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
