Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Afigya-Kwabre,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
Ashanti Region,Ahafo-Ano-North,Multi Sectoral,"1,382,707","1,302,436","1,678,109","4,363,253",0,"399,971","47,580","447,551",0,"36,000",0,0,0,"568,141","448,900","1,017,041","5,863,845"
Ashanti Region,Ahafo-Ano-North,Ahafo Ano North District - Tepa,"1,382,707","1,302,436","1,678,109","4,363,253",0,"399,971","47,580","447,551",0,"36,000",0,0,0,"568,141","448,900","1,017,041","5,863,845"
Ashanti Region,Ahafo-Ano-North,Central Administration,"618,160","856,419","652,527","2,127,106",0,"399,971",0,"399,971",0,0,0,0,0,"160,688","5,500","166,188","2,693,265"
Ashanti Region,Ahafo-Ano-North,Administration (Assembly Office),"618,160","856,419","652,527","2,127,106",0,"399,971",0,"399,971",0,0,0,0,0,"160,688","5,500","166,188","2,693,265"
Ashanti Region,Ahafo-Ano-North,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,"Education, Youth and Sports",0,"40,000","294,044","334,044",0,0,"47,580","47,580",0,"36,000",0,0,0,"407,453","70,456","477,909","895,533"
Ashanti Region,Ahafo-Ano-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Education,0,"40,000","294,044","334,044",0,0,"47,580","47,580",0,"36,000",0,0,0,"407,453","70,456","477,909","895,533"
Ashanti Region,Ahafo-Ano-North,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Health,"59,301","237,000","345,125","641,426",0,0,0,0,0,0,0,0,0,0,"250,000","250,000","891,426"
Ashanti Region,Ahafo-Ano-North,Office of District Medical Officer of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Environmental Health Unit,"59,301","212,000","62,409","333,710",0,0,0,0,0,0,0,0,0,0,"130,000","130,000","463,710"
Ashanti Region,Ahafo-Ano-North,Hospital services,0,"25,000","282,716","307,716",0,0,0,0,0,0,0,0,0,0,"120,000","120,000","427,716"
Ashanti Region,Ahafo-Ano-North,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Agriculture,"423,334","29,310",0,"452,644",0,0,0,0,0,0,0,0,0,0,0,0,"452,644"
Ashanti Region,Ahafo-Ano-North,,"423,334","29,310",0,"452,644",0,0,0,0,0,0,0,0,0,0,0,0,"452,644"
Ashanti Region,Ahafo-Ano-North,Physical Planning,"36,597","17,904",0,"54,501",0,0,0,0,0,0,0,0,0,0,0,0,"54,501"
Ashanti Region,Ahafo-Ano-North,Office of Departmental Head,0,"17,904",0,"17,904",0,0,0,0,0,0,0,0,0,0,0,0,"17,904"
