Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kisoro District,District Government,0,2015/16 Proposed Budget,Vote: 526,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kisoro District,District Government,0,2015/16 Proposed Budget,Vote: 526,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Kisoro District,District Government,"1,939,859",2015/16 Proposed Budget,Vote: 526,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Kisoro District,District Government,0,2015/16 Proposed Budget,Vote: 526,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Kisoro District,District Government,"534,193",2015/16 Proposed Budget,Vote: 526,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Kisoro District,District Government,0,2015/16 Proposed Budget,Vote: 526,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,"18,251",2014/15 Approved Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,"20,000",2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,"18,124",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"133,474",2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"64,354",2014/15 Approved Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"92,000",2014/15 Approved Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"11,495",2014/15 Approved Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"49,125",2014/15 Approved Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"18,562",2014/15 Approved Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"109,054",2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,"155,483",2014/15 Approved Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"201,294",2014/15 Approved Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"20,697",2014/15 Approved Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"5,000",2014/15 Approved Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,"28,981",2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,"157,483",2014/15 Approved Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,"531,116",2014/15 Approved Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,"1,712,972",2014/15 Approved Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"495,030",2014/15 Approved Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"56,667",2014/15 Approved Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,0,2014/15 Approved Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"5,605,945",2014/15 Approved Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"1,307,596",2014/15 Approved Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"669,166",2014/15 Approved Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2014/15 Approved Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,"12,000",2015/16 Proposed Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Kitgum District,District Government,"103,542",2015/16 Proposed Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"105,324",2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"47,033",2015/16 Proposed Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"247,692",2015/16 Proposed Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"67,500",2015/16 Proposed Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Kitgum District,District Government,"52,969",2015/16 Proposed Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,"155,483",2015/16 Proposed Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Donor Dev't,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"12,686",2015/16 Proposed Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"33,460",2015/16 Proposed Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"17,810",2015/16 Proposed Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,"80,377",2015/16 Proposed Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,"531,116",2015/16 Proposed Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,"1,744,159",2015/16 Proposed Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"654,952",2015/16 Proposed Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Non Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"1,000",2015/16 Proposed Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"52,261",2015/16 Proposed Budget,Vote: 527,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"5,605,945",2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Provision of furniture to primary schools
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"1,301,159",2015/16 Proposed Budget,Vote: 527,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Classroom construction and rehabilitation
Function: Secondary Education,Wage Rec't:,3. Capital Purchases,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Teacher house construction
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,"669,166",2015/16 Proposed Budget,Vote: 527,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Kitgum District,District Government,0,2015/16 Proposed Budget,Vote: 527,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Distribution of Primary Instruction Materials
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,"32,000",2014/15 Approved Budget,Vote: 563,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Koboko District,District Government,"17,334",2014/15 Approved Budget,Vote: 563,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Koboko District,District Government,"40,668",2014/15 Approved Budget,Vote: 563,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Koboko District,District Government,0,2014/15 Approved Budget,Vote: 563,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Koboko District,District Government,"120,000",2014/15 Approved Budget,Vote: 563,Output: Classroom construction and rehabilitation
