Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Bukwo District,District Government,"109,500",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Conditional Grant to District Hospitals
Revenue,Recurrent Revenues,Bukwo District,District Government,"109,500",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Conditional Grant to District Hospitals
Revenue,Development Revenues,Bukwo District,District Government,"349,360",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Conditional Grant to PHC - development
Revenue,Development Revenues,Bukwo District,District Government,"236,338",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PHC - development
Revenue,Development Revenues,Bukwo District,District Government,"311,231",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Donor Funding
Revenue,Development Revenues,Bukwo District,District Government,"349,359",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Donor Funding
Revenue,Development Revenues,Bukwo District,District Government,"13,857",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukwo District,District Government,"7,500",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukwo District,District Government,846,Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Development Revenues,Bukwo District,District Government,"4,846",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Development Revenues,Bukwo District,District Government,"1,248",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,"2,086",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"1,496,287",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"1,745,511",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"318,319",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"310,569",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,"365,311",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,"250,771",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,"311,231",Workplan 5: Health,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,"349,359",Workplan 5: Health,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,"14,419",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Conditional transfers to School Inspection Grant
Revenue,Recurrent Revenues,Bukwo District,District Government,"20,738",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Conditional transfers to School Inspection Grant
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"14,000",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"565,435",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Conditional Grant to Secondary Education
Revenue,Recurrent Revenues,Bukwo District,District Government,"755,357",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Conditional Grant to Secondary Education
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,000",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"813,195",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,136,873",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bukwo District,District Government,"39,062",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"39,062",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"786,567",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Conditional Grant to Secondary Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,080,302",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Conditional Grant to Secondary Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"224,141",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Conditional Grant to Primary Education
Revenue,Recurrent Revenues,Bukwo District,District Government,"278,014",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Conditional Grant to Primary Education
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,991,111",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Conditional Grant to Primary Salaries
Revenue,Recurrent Revenues,Bukwo District,District Government,"3,893,897",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Conditional Grant to Primary Salaries
Revenue,Development Revenues,Bukwo District,District Government,"37,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Construction of Secondary Schools
Revenue,Development Revenues,Bukwo District,District Government,0,Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Construction of Secondary Schools
Revenue,Development Revenues,Bukwo District,District Government,"5,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukwo District,District Government,"12,945",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukwo District,District Government,500,Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Development Revenues,Bukwo District,District Government,500,Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Development Revenues,Bukwo District,District Government,"11,331",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,"19,347",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,"275,788",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Conditional Grant to SFG
Revenue,Development Revenues,Bukwo District,District Government,"275,788",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Conditional Grant to SFG
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"2,816,740",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"5,013,261",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"1,625,189",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"2,208,982",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,"329,619",Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,"308,580",Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 6: Education,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 6: Education,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,"50,652",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"50,652",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,000",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"1,000",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"25,625",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"25,440",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"94,433",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 567,Roads Rehabilitation Grant
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 567,Roads Rehabilitation Grant
Revenue,Recurrent Revenues,Bukwo District,District Government,"222,125",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 567,Other Transfers from Central Government
Revenue,Recurrent Revenues,Bukwo District,District Government,"340,635",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 567,Other Transfers from Central Government
Revenue,Development Revenues,Bukwo District,District Government,"13,152",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
