This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for AAPL on 9/17/14 16:11:16

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
101.61,Q,+.75,101.61,Q,101.62,Q,15 x 31,"56,646,602",101.27,101.80,100.5922

UNDERLYING EXTRA INFO
Yield,PE,EPS,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
1.85%,16.34,6.22,.47,Q,8/7/14,103.74,63.9286,"5,987,867,000",.9006

SEP 14  (2)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,8.30,T,+.15,8.25,C,8.40,C,APR 15,100,7.15,C,7.30,C,7.30,Q,-.35,,
,,7.95,Q,0,7.90,C,8.05,C,APR 15,100.71,7.50,C,7.70,C,7.60,N,-1.00,,
,,7.65,C,+.14,7.55,C,7.70,C,APR 15,101.43,7.90,C,8.05,C,7.95,X,-1.35,,
,,7.05,Q,+.30,6.95,X,7.05,C,APR 15,102.86,8.70,C,8.80,C,9.80,Z,0,,
,,6.20,X,0,6.35,C,6.45,C,APR 15,104.29,9.50,C,9.65,C,9.70,N,0,,
,,6.00,N,0,6.05,I,6.20,C,APR 15,105,9.95,C,10.10,C,11.30,C,0,,
,,5.75,M,+.25,5.80,C,5.90,C,APR 15,105.71,10.40,C,10.55,C,12.40,M,0,,
,,4.90,X,0,5.20,C,5.40,C,APR 15,107.14,11.30,C,11.50,X,12.45,N,0,,
,,4.75,A,0,4.80,C,4.90,C,APR 15,108.57,12.25,C,12.45,X,12.15,N,0,,
,,4.40,N,0,4.30,C,4.40,H,APR 15,110,13.25,C,13.45,C,13.35,Q,-.60,,
,,3.95,X,+.15,3.90,C,4.05,C,APR 15,111.43,14.25,C,14.50,C,14.10,C,0,,
,,3.50,X,-.10,3.50,C,3.65,C,APR 15,112.86,15.30,C,15.55,C,15.87,C,+.77,,
,,3.05,C,0,3.20,C,3.35,C,APR 15,114.29,16.40,C,16.65,C,18.50,C,0,,
,,3.00,C,-.15,3.00,C,3.15,C,APR 15,115,16.95,C,17.20,C,17.30,Q,0,,
,,2.77,A,0,2.89,C,3.00,C,APR 15,115.71,17.50,C,17.75,C,19.65,C,0,,
,,2.71,X,0,2.61,C,2.71,C,APR 15,117.14,18.70,N,18.90,X,18.25,C,0,,
,,2.25,A,0,2.36,C,2.45,C,APR 15,118.57,19.85,C,20.10,C,19.30,B,0,,
,,2.14,X,+.04,2.14,C,2.22,C,APR 15,120,21.05,A,21.30,X,21.55,H,0,,
,,2.18,A,0,1.91,C,2.01,C,APR 15,121.43,22.25,C,22.55,C,21.80,C,0,,
,,1.90,C,0,1.72,C,1.82,C,APR 15,122.86,23.50,A,23.75,C,22.85,X,0,,
,,1.59,A,+.13,1.55,C,1.64,C,APR 15,124.29,24.75,C,25.05,C,24.25,C,0,,
,,1.56,M,-.03,1.47,C,1.55,A,APR 15,125,25.40,X,25.65,X,26.95,C,0,,
,,1.45,M,+.11,1.39,C,1.49,C,APR 15,125.71,25.95,C,26.30,X,27.15,X,0,,
,,1.38,C,+.06,1.25,C,1.35,C,APR 15,127.14,27.25,C,27.60,C,26.80,C,0,,
,,1.11,M,0,1.13,C,1.23,C,APR 15,128.57,28.55,C,28.90,X,28.55,Z,0,,
,,1.10,M,+.02,1.04,C,1.10,Z,APR 15,130,29.95,A,30.15,X,31.90,H,0,,
,,.80,M,0,.94,C,1.01,C,APR 15,131.43,31.25,X,31.55,X,32.60,C,0,,
,,.90,A,0,.86,M,.92,C,APR 15,132.86,32.60,X,32.90,X,33.85,Z,0,,
,,.77,B,0,.78,M,.84,C,APR 15,134.29,33.95,X,34.25,X,35.20,Z,0,,
,,.77,Q,0,.75,C,.80,C,APR 15,135,34.65,X,34.85,X,34.50,X,0,,
,,.73,M,0,.71,C,.77,C,APR 15,135.71,35.30,X,35.60,X,36.50,X,0,,
,,.66,A,0,.65,C,.70,C,APR 15,137.14,36.70,X,36.90,C,36.90,X,+.40,,
,,.54,C,-.01,.54,C,.59,C,APR 15,140,39.45,X,39.65,C,40.50,X,0,,
,,.49,A,0,.38,C,.44,N,APR 15,145,44.25,X,44.50,C,44.35,X,+.25,,
,,.34,X,+.04,.28,C,.35,C,APR 15,150,49.15,C,49.45,X,48.35,X,0,,
,,.25,A,-.03,.19,C,.28,C,APR 15,155,54.05,C,54.40,X,55.45,C,0,,

APR 15  (211)  10 (Mini)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,, ,,50.40,A,52.75,A,APR 15,50,0,Z,.64,A,, ,,,
,,, ,,45.40,A,47.75,A,APR 15,55,0,Z,.68,A,, ,,,
,,, ,,40.45,A,42.80,A,APR 15,60,0,Z,.72,A,, ,,,
,,, ,,35.45,A,37.80,A,APR 15,65,0,Z,.82,A,, ,,,
,,29.80,Z,0,30.65,A,32.95,A,APR 15,70,0,Z,.99,A,, ,,,
,,, ,,25.75,A,27.75,A,APR 15,75,.16,A,1.29,A,, ,,,
,,22.80,Z,0,21.40,A,23.05,A,APR 15,80,.66,A,1.79,A,, ,,,
,,, ,,17.70,A,18.85,A,APR 15,85,1.94,A,2.10,N,2.00,N,0,,
,,14.40,A,+.35,14.20,N,14.55,N,APR 15,90,3.15,N,3.35,N,3.40,N,0,,
,,10.80,N,+.55,10.95,N,11.20,N,APR 15,95,4.90,A,5.10,N,4.90,N,0,,
,,8.00,A,+.10,8.20,N,8.45,A,APR 15,100,7.15,A,7.35,N,8.30,N,0,,
,,6.20,Z,+.15,5.95,N,6.20,A,APR 15,105,9.95,A,10.15,N,9.55,N,0,,
,,3.90,A,0,4.25,N,4.45,Z,APR 15,110,13.15,A,14.55,A,, ,,,
,,3.20,B,+.42,3.00,N,3.20,A,APR 15,115,16.70,A,18.25,A,, ,,,
,,1.90,N,0,2.09,A,2.25,A,APR 15,120,20.20,A,22.15,A,, ,,,
,,1.47,B,-.02,1.45,N,1.61,A,APR 15,125,24.60,A,26.50,A,, ,,,
,,1.18,B,0,.53,A,1.65,A,APR 15,130,29.10,A,31.05,A,, ,,,
,,, ,,.22,A,1.13,A,APR 15,135,33.85,A,35.75,A,, ,,,
,,, ,,0,Z,1.13,A,APR 15,140,38.40,A,40.75,A,, ,,,
,,, ,,0,Z,.98,A,APR 15,145,43.25,A,45.60,A,, ,,,

JUL 15  (302)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,50.75,Q,0,49.30,A,53.85,X,JUL 15,50,.08,C,.16,C,.12,N,-.03,,
,,, ,,44.30,A,48.85,X,JUL 15,55,.15,C,.22,M,.22,H,0,,
,,40.00,N,0,41.50,C,41.95,C,JUL 15,60,.28,Z,.35,C,.36,C,0,,
,,37.00,N,0,36.60,C,37.05,C,JUL 15,65,.47,C,.55,X,.50,H,0,,
,,31.78,C,+.38,31.80,C,32.25,C,JUL 15,70,.80,C,.89,C,.89,Q,-.09,,
,,27.50,Q,+1.30,27.20,A,27.50,A,JUL 15,75,1.30,C,1.43,C,1.49,C,0,,
,,22.65,Q,-.18,22.85,A,23.20,A,JUL 15,80,2.09,C,2.23,C,2.16,N,-.17,,
,,19.15,Z,+.80,18.90,X,19.25,I,JUL 15,85,3.20,I,3.35,C,3.40,H,-.05,,
,,15.70,H,+.25,15.50,C,15.75,C,JUL 15,90,4.70,A,4.85,C,5.00,Q,-.30,,
,,14.00,I,+.20,13.90,C,14.15,C,JUL 15,92.5,5.65,C,5.80,C,5.75,T,-.90,,
,,12.50,Q,+.05,12.50,A,12.65,C,JUL 15,95,6.65,N,6.85,C,6.78,C,-.34,,
,,10.80,Q,+.15,11.10,C,11.30,C,JUL 15,97.5,7.80,C,8.00,C,8.20,C,-.30,,
,,9.95,H,+.02,9.90,I,10.05,C,JUL 15,100,9.05,C,9.25,C,9.20,Q,-.50,,
,,7.81,C,+.10,7.70,C,7.90,C,JUL 15,105,11.90,C,12.05,C,12.08,C,+.18,,
,,5.95,Q,0,5.85,C,6.10,C,JUL 15,110,15.10,C,15.40,C,15.48,C,-1.11,,
,,4.60,N,0,4.50,X,4.70,C,JUL 15,115,18.70,C,19.00,C,19.08,C,+.14,,
,,3.55,A,0,3.40,C,3.60,C,JUL 15,120,22.60,C,22.90,C,23.00,H,+.40,,
,,2.70,H,+.10,2.65,A,2.74,Z,JUL 15,125,26.75,C,27.15,A,29.50,I,0,,
,,2.05,C,+.05,1.97,C,2.11,C,JUL 15,130,31.10,C,31.55,C,34.05,C,0,,
,,1.87,I,0,1.55,A,1.63,C,JUL 15,135,35.65,C,36.05,C,, ,,,
,,1.20,I,0,1.15,C,1.26,C,JUL 15,140,40.25,A,40.70,X,41.60,Q,0,,
,,.93,H,-.12,.88,C,.99,C,JUL 15,145,44.95,A,45.40,A,, ,,,
,,.75,Q,+.02,.69,C,.78,C,JUL 15,150,49.75,A,50.20,X,, ,,,
